PATTERN_LEN;SEQ_LEN;BLAST_TIME;SW_TIME
500;1000;1.633000;23.837000
500;2000;4.185000;46.990000
500;3000;154.086000;69.661000
500;4000;1.151000;93.490000
500;5000;2.375000;116.873000
500;6000;2.580000;143.723000
500;7000;365.028000;162.881000
500;8000;458.158000;188.272000
500;9000;2.198000;210.280000
