PATTERN_LEN;SEQ_LEN;MATCH;MISMATCH;GAP_OPEN;GAP_EXTEND;MAX_VALUE;TIME
100;100000;2;-1;-3;-1;0;4,707
100;200000;2;-1;-3;-1;0;9,025
100;300000;2;-1;-3;-1;0;13,453
100;400000;2;-1;-3;-1;200;17,824
100;500000;2;-1;-3;-1;200;22,314
100;600000;2;-1;-3;-1;0;27,306
100;700000;2;-1;-3;-1;0;31,553
100;800000;2;-1;-3;-1;200;35,517
100;900000;2;-1;-3;-1;0;40,458
